video_id,comment_id,author_display_name,text,published_at,like_count,clean_text,word_count,is_spam
z9or_nYdBe8,UgxXZzLxplZiBbSh6id4AaABAg,@dexterspeights3484,The art of war will always destroy the art of the deal.,2025-04-15T21:31:57Z,519,art war always destroy art deal,6,0
z9or_nYdBe8,UgxhzBrgnqTNj4JJ2EN4AaABAg,@theehonestson,Long live CHINA long live XI XINGPING❤❤❤,2025-04-15T21:31:52Z,7,long live china long live xi xingping,7,0
z9or_nYdBe8,UgykwiJ2jNF31fWE_CN4AaABAg,@user-si3tb8hp8m,Stand still West and European countries we all know that quality of chinese products are low and the they are best in copying 😂😂😂,2025-04-15T21:31:16Z,0,stand still west european countries know quality chinese products low best copying,12,0
z9or_nYdBe8,UgxTQqt8-4mJHVMqzHp4AaABAg,@jasonpwilson01XFORCE,Cheap Chinese knock offs are never worth it.,2025-04-15T21:30:27Z,2,cheap chinese knock offs never worth,6,0
z9or_nYdBe8,UgyTwFacJvcn9lM02IJ4AaABAg,@AkodawSipedro,😂😂😂 I think there’s a difference between what China made LV that street vendors are selling than what the actual LV store sales 😂😂😂,2025-04-15T21:30:10Z,0,think ’ difference china made lv street vendors selling actual lv store sales,13,0
z9or_nYdBe8,UgwD4jZn0X06_KNBahN4AaABAg,@Fttyu774,Chinese Made Planes Will Fall Out The Sky Just as there Infrastructure Falls😂😂😂😂😂,2025-04-15T21:29:36Z,0,chinese made planes fall sky infrastructure falls,7,0
z9or_nYdBe8,UgwpWMksAz2UHA1dvVd4AaABAg,@atangandehangu7399,"China sells goods, US sells Stocks 😂😂😂 choose your wise. Reason why one is world power number 1",2025-04-15T21:29:35Z,0,china sells goods us sells stocks choose wise reason one world power number,13,0
z9or_nYdBe8,UgyumWoVHvVkKDC7xSd4AaABAg,@jasonpwilson01XFORCE,This proves President Trump’s point. The Chinese have been ripping off the world’s IP for decades. And this proves it.,2025-04-15T21:28:37Z,1,proves president trump ’ point chinese ripping world ’ ip decades proves,12,0
z9or_nYdBe8,Ugz77MLK91-21RKSD1x4AaABAg,@Bobsaccount123,Fake name brand. Made in China. Communist party disguised as businessmen complete with western suits and ties instead of Mao’s peasant outfit.,2025-04-15T21:28:27Z,0,fake name brand made china communist party disguised businessmen complete western suits ties instead mao ’ peasant outfit,18,0
z9or_nYdBe8,UgyTdFEjpkxoapZH8qx4AaABAg,@silverzone01,"I rather pay to Vietnam, than buy anything made in china. Even better, if products made in US, even if I pay extra",2025-04-15T21:28:24Z,0,rather pay vietnam buy anything made china even better products made us even pay extra,15,0
